DateRepConf,HealthStatus,Count
2021-01-19,RECOVERED,1321
2020-05-30,RECOVERED,557
2021-02-01,RECOVERED,1636
2021-03-31,DIED,82
2020-08-17,DIED,75
2020-11-14,RECOVERED,1610
2021-08-06,ACTIVE,237
2020-10-30,ACTIVE,10
2021-08-05,ACTIVE,159
2020-05-01,RECOVERED,266
2020-07-02,RECOVERED,247
2020-07-13,RECOVERED,785
2020-10-22,DIED,45
2021-08-10,DIED,51
2021-08-08,DIED,79
2020-06-10,RECOVERED,710
2020-05-24,RECOVERED,241
2021-05-13,DIED,119
2020-07-03,RECOVERED,1427
2020-06-27,RECOVERED,710
2020-07-10,RECOVERED,1135
2020-06-23,RECOVERED,1053
2020-09-06,DIED,67
2020-05-20,RECOVERED,268
2021-03-17,DIED,95
2021-04-27,DIED,100
2021-01-15,DIED,56
2021-08-13,DIED,31
2021-07-31,ACTIVE,53
2020-12-09,DIED,29
2021-04-12,DIED,152
2021-01-09,DIED,44
2021-08-03,DIED,70
2021-04-25,DIED,141
2021-06-09,DIED,116
2021-04-26,DIED,136
2021-04-19,DIED,145
2021-02-16,RECOVERED,1344
2021-02-10,DIED,35
2021-01-21,RECOVERED,1720
2021-04-15,ACTIVE,34
2021-04-13,DIED,170
2021-05-01,DIED,144
2021-07-13,DIED,60
2021-07-28,DIED,73
2021-06-24,DIED,112
2021-06-16,DIED,93
2020-06-20,DIED,57
2020-05-25,RECOVERED,254
2020-11-19,RECOVERED,1273
2021-07-22,DIED,69
2020-12-17,DIED,48
2021-06-20,ACTIVE,26
2021-08-14,DIED,25
2021-06-25,DIED,99
2021-04-22,DIED,123
2021-04-14,DIED,137
2021-08-07,DIED,74
2020-08-09,DIED,65
2021-04-18,DIED,141
2020-04-30,RECOVERED,254
2020-05-04,RECOVERED,246
2020-06-02,RECOVERED,333
2020-06-03,DIED,35
2020-05-22,RECOVERED,159
2020-06-05,RECOVERED,233
2021-08-12,RECOVERED,122
2020-07-14,RECOVERED,582
2020-08-08,DIED,121
2020-06-07,DIED,36
2020-08-06,DIED,81
2020-12-21,ACTIVE,4
2020-07-05,DIED,62
2020-09-14,DIED,46
2020-10-25,DIED,47
2020-11-07,DIED,54
2021-04-17,DIED,169
2021-03-19,DIED,94
2020-06-21,RECOVERED,611
2020-08-21,DIED,126
2021-07-17,DIED,77
2021-06-19,DIED,111
2020-11-05,DIED,49
2020-06-04,RECOVERED,616
2021-07-14,ACTIVE,10
2020-06-30,RECOVERED,962
2021-05-29,DIED,108
2021-02-03,DIED,31
2021-07-10,DIED,90
2020-11-12,DIED,37
2021-07-05,DIED,88
2021-04-04,DIED,144
2020-04-12,RECOVERED,200
2020-04-09,RECOVERED,176
2020-11-01,DIED,51
2021-03-12,DIED,62
2020-05-21,RECOVERED,203
2021-07-21,DIED,93
2020-08-24,DIED,68
2020-03-23,RECOVERED,61
2020-08-29,ACTIVE,10
2021-03-20,DIED,112
2020-08-11,DIED,63
2020-05-14,RECOVERED,243
2020-12-26,DIED,33
2020-09-09,DIED,66
2020-06-19,DIED,29
2020-05-04,DIED,10
2020-10-01,DIED,68
2020-11-19,DIED,47
2021-06-27,DIED,91
2021-04-23,DIED,140
2020-06-15,RECOVERED,463
2020-07-20,DIED,40
2021-06-18,DIED,100
2021-06-10,DIED,128
2020-05-13,RECOVERED,252
2021-07-07,DIED,76
2020-03-31,RECOVERED,427
2020-06-18,RECOVERED,513
2020-05-26,RECOVERED,342
2021-04-03,DIED,130
2020-08-19,DIED,93
2021-07-03,ACTIVE,24
2020-06-13,RECOVERED,582
2020-04-02,RECOVERED,272
2021-04-24,DIED,151
2020-05-08,RECOVERED,110
2020-07-06,DIED,45
2020-04-21,RECOVERED,131
2020-04-27,RECOVERED,183
2020-04-16,RECOVERED,202
2020-07-12,DIED,40
2021-07-19,DIED,59
2021-05-21,DIED,112
2020-06-11,RECOVERED,409
2020-09-11,DIED,83
2020-09-20,DIED,53
2021-06-03,DIED,143
2021-04-07,ACTIVE,15
2020-09-05,ACTIVE,5
2021-04-24,ACTIVE,43
2021-06-25,ACTIVE,13
2021-06-03,ACTIVE,28
2020-04-26,DIED,16
2021-06-14,DIED,93
2020-08-10,DIED,107
2021-06-02,DIED,101
2021-03-24,DIED,103
2020-09-03,DIED,53
2020-12-04,DIED,27
2021-07-12,DIED,81
2020-08-26,ACTIVE,13
2021-03-10,DIED,62
2020-06-08,DIED,31
